ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,C201,REGION,ESTRATO,LLAVE_PANEL,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C308_COD,C309_COD,C310,C311,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,whoraT,C330,C331,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C348,C347_T,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,fa_nde23,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,INGTOT,INGTOTP,RESIDENT
2022,11,1735201,1,0049,1,1,1,1,20210817352011004911,1,1,2, ,1,70,1,1,19,7,1952,1, , , , , , , , , , , , , , ,8332,4923,2, ,1,1,0,12,11,9,10,11,0,53,1, ,2,2, , , ,878, , , , , , , , , , , , ,1,1,5,2, ,2,2,2,2,2,2,1,5,1,324.434186, , ,878, , , , , ,878,878,1
2022,11,1735201,1,0049,1,2,1,1,20210817352011004912,2,1,2, ,2,78,2,2,28,3,1944,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,2, , , , ,1,5,1, , ,2,2,2,2,2,2,1,1,4,298.656144, , , , , , , , , , ,1
2022,11,1735201,1,0049,1,3,1,1,20210817352011004913,3,1,2, ,2,36,3,3,27,3,1986,1, , , , , , , , , , , , , , ,2341,8521,3,2,5,9998,0,6,6,6,6,6,0,30,1, ,2,2,4,2500, , , , , , , , , , , , , , ,1,1,11,5, ,2,2,2,2,2,2,1,1,1,382.86634,2500, , , , , , , ,2500,2500,1
2022,11,1735201,1,0049,1,4,1,1,20210817352011004914,3,1,2, ,2,35,4,4,1,11,1987,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,1,13,1,2,1,5,6,5, ,2,2,2,2,2,2,1,7,2,382.86634, , , , , , , , , , ,1
2022,11,1735201,1,0050,1,1,1,1,20210817352011005011,1,1,2, ,1,58,1,1,29,8,1964,1, , , , , , , , , , , , , , ,9535,4782,2, ,1,1,10,8,8,8,2,0,5,41,1, ,1,2, , , ,450, , , , , , , , , , , , ,1,5,6,5, ,2,2,2,2,2,2,1,1,1,324.434186, , ,453, , , , , ,453,453,1
2022,11,1735201,1,0050,1,2,1,1,20210817352011005012,2,1,2, ,2,58,2,2,25,7,1964,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2, , , ,1,5,3,1, ,2,2,2,2,2,2,1,1,4,298.656144, , , , , , , , , , ,1
2022,11,1735201,1,0050,1,3,1,1,20221117352011005013,3,1,2, ,1,22,3,1,20,9,2000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,2, , , , ,1,5,6,5, ,2,2,2,2,2,1,10,1,4,394.152482, , , , , , , , , , ,1
2022,11,1737003,1,0038,1,1,1,1,20221117370031003811,1,1,2, ,1,25,1,1,24,1,1997,1, , , , , , , , , , , , , , ,7127,4322,3,5,3,60,0,11,6,8,8,0,0,40,2,40,1,2,4,2000, , , , , , , , , , , , , , ,1,1,5,2, ,2,2,2,2,2,2,10,7,1,405.172218,2000, , , , , , , ,2000,2000,1
2022,11,1737003,1,0039,1,1,1,1,20221117370031003911,1,1,2, ,1,32,1,1,29,9,1990,1, , , , , , , , , , , , , , ,7214,2511,3,5,4,400,0,8,8,9,9,9,5,48,1, ,1,2,4,550, , , , , , , , , , , , , , ,1,1,5,1, ,2,2,2,2,2,2,10,7,1,405.172218,550, , , , , , , ,550,550,1
2022,11,1737003,1,0039,1,2,1,1,20221117370031003912,2,1,2, ,2,31,2,2,21,7,1991,1, , , , , , , , , , , , , , ,7354,1410,3,5,1,5,0,9,9,9,9,9,8,59,1, ,2,2,2,200, , , , ,88, ,9, , , , , , , ,1,5,5,4, ,2,2,2,2,2,2,10,7,1,382.86634,866, , , , ,88, ,9,963,866,1
2022,11,1737003,1,0039,1,3,1,1,20221117370031003913,3,1,2, ,2,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
2022,11,1737003,1,0039,1,4,1,1,20221117370031003914,3,1,2, ,2,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
2022,11,1737003,1,0039,1,5,1,1,20221117370031003915,3,1,2, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
2022,11,1737003,1,0040,1,1,1,1,20221117370031004011,1,1,2, ,1,32,1,1,6,6,1990,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,8,1,2, , , ,1,6,8,2, ,2,2,2,2,2,2,10,4,4,405.172218, , , , , , , , , , ,1
2022,11,1737003,1,0040,1,2,1,1,20221117370031004012,2,1,2, ,2,33,2,2,18,2,1989,1, , , , , , , , , , , , , , ,4120,4520,4, ,1,2,0,1,0,0,0,0,0, ,2,7, , , , , , , , , , , ,2,5,1,2, , , ,1,5,5,4, ,2,2,2,2,2,2,10,1,4,382.86634, , , , , , , , , , ,1
2022,11,1737003,1,0040,1,3,1,1,20221117370031004013,3,1,2, ,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
2022,11,1737003,1,0041,1,1,1,1,20221117370031004111,1,1,2, ,1,34,1,1,30,8,1988,1, , , , , , , , , , , , , , ,9321,1030,3,5,4,500,0,8,8,8,8,8,8,64,1, ,2,2,4,1520, , , ,880, ,60, , , , , , , , ,1,1,6,5, ,2,2,2,2,2,2,10,7,1,405.172218,1520, , , ,880, ,260, ,2660,1520,1
2022,11,1737003,1,0041,1,2,1,1,20221117370031004112,2,1,2, ,2,33,2,2,26,9,1989,1, , , , , , , , , , , , , , ,5212,4722,2, ,1,1,0,11,11,11,11,11,12,67,1, ,2,2, , , ,1100,20, , , , , , , , , , , ,1,5,5,3, ,2,2,2,2,2,2,10,7,1,382.86634, , ,1053,87, , , , ,1140,1140,1
