pano,pmes,conglome,submuestra,vivienda,hogar,codperso,dominio,estrato,codpanel,p103,p104,p105,p106,p107,p108,p109a,p109b,p109c,p200n,p200i,p200a,p200b,p200bb,p200c,p200d,p200dd,p200e,p200f,p200g,p201,p202,p203,p204,p2041,p2042,p2043,p2044,p2045,p2046,p2047,p2048,p2049,p20410,p20411,p204a,p205a,p206,P206AA,p207a,p207b,p208b1,p208b2,p208b3,p209a,p209b,p209c,p209d,p209e,p209f,p209g,p209t,p209bb,p209cc,p209h,p209ee,p210,p211a,p211b,p212a,p212b,p212c,p212d,p212e,p213,p214,p215,p216,p217,p218,p219,p220,p222,P223A1,P223A2,P223A3,P223A4,P223A5,P223A6,P223A7,P224,P225,ocu200,i211a,i211b,i212a,i212b,i212c,i212d,ingtot,ingprin,resident,fa_mjj22
2022,05,017512,005,0116,12,04,8,1,21051204,3,1,2, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,05,017512,005,0116,22,01,8,1,21052201,1,1,2, ,1,24,6,5, ,1,1,15,5,2022,21,5,2022,23,3,1998,1, , , , , , , , , , , , , , ,564,8010,3,4,2, ,99,99,2019,12,12,12,12,12,0,8,68,1, ,1,1,4,1400,868, , ,120,0,0, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,1400,868, , ,120,0,2388,2268,1,498.660474637535
2022,05,017512,005,0116,22,02,8,1,21052202,2,1,2, ,2,24,5,2, ,2,2,15,5,2022,21,5,2022,6,11,1997,1, , , , , , , , , , , , , , ,919,4799,2, ,1,1,1,3,2022,3,3,3,3,3,3,3,21,1, ,2,2, , , ,150,0, , ,1, , , , , , , , ,6,0,0,0,0,0,0,1,6,4,1, , ,150,0, , ,150,150,1,526.590707764074
2022,05,017512,005,0116,22,03,8,1,21052203,3,1,2, ,2,6,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,05,017512,005,0116,22,04,8,1,21052204,3,1,2, ,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,05,017664,005,0200,11,01,8,1,21051101,1,1,2, ,1,48,8,3, ,1,1,24,4,2022,30,4,2022,17,1,1974,1, , , , , , , , , , , , , , ,423,1073,3,5,2, ,99,99,1999,0,8,8,8,8,8,8,48,1, ,1,2,4,2500,390, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,2500,390, , , , ,2890,2890,1,299.042039668199
2022,05,017664,005,0200,11,02,8,1,21051102,2,1,2, ,2,49,6,5, ,2,2,24,4,2022,30,4,2022,4,3,1973,1, , , , , , , , , , , , , , ,572,4711,2, ,1,2,99,99,2018,10,10,10,10,10,10,14,74,1, ,2,2, , , ,779,260, , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1, , ,779,260, , ,1039,1039,1,268.938539365464
2022,05,017664,005,0200,11,03,8,1,21051103,3,1,2, ,2,18,9,1, ,3,3,24,4,2022,30,4,2022,7,10,2003,1, , , , , , , , , , , , , , ,419,6419,3,5,1,60,15,1,2022,8,8,8,8,8,0,6,46,1, ,2,2,3,550,0, , , , ,1, , , , , , , , ,5,0,0,0,0,0,0,1,6,4,1,1100,0, , , , ,1100,1100,1,358.08168127957
2022,05,017664,005,0200,11,04,8,1,21051104,3,1,2, ,2,21,7,2, ,4,4,24,4,2022,30,4,2022,3,7,2000,1, , , , , , , , , , , , , , ,572,4711,5,5,1,2,99,99,2019,0,4,4,8,8,8,0,32,2,48,2,2, , , , , , , , , , , , , , , , ,6,0,0,0,0,0,0,1,6,4,1, , , , , , ,0,0,1,358.08168127957
2022,05,017664,005,0200,11,05,8,1,21051105,10,1,2, ,2,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
